"uniname";"uniurl";"scountryname";"unirank"
"J F Drake State Technical College";"http://www.dstc.cc.al.us/";"us";"9012"
"Salem Community College";"http://www.salemcc.edu/";"us";"9013"
"Zhejiang Technology Institue of Economy";"http://www.zjtie.edu.cn/";"cn";"9014"
"Mercy College of Health Sciences";"http://www.mchs.edu/";"us";"9015"
"Tallinn Pedagogical Seminary";"http://www.tps.edu.ee/";"ee";"9016"
"Faculdade São Roque";"http://www.facsaoroque.br/";"br";"9017"
"Middle Georgia Technical College";"http://www.middlegatech.edu/";"us";"9018"
"Baiko Women s College";"http://www.baiko.ac.jp/";"jp";"9019"
"Hiroshima Bunka Gakuen University (Kure University)";"http://www.hbg.ac.jp/";"jp";"9020"
"Diplomatic Academy of Ministry of Foreign Affairs Russian Federation";"http://www.dipacademy.ru/";"ru";"9021"
"Institut Catholique d Études Superieures";"http://www.ices.fr/";"fr";"9022"
"University of Belgrade Technical Faculty in Bor";"http://www.tf.bor.ac.rs/";"rs";"9023"
"Carolinas College of Health Sciences";"http://www.carolinascollege.edu/";"us";"9024"
"Faculty of Tourism Studies Portoro? Turistica";"http://www.turistica.si/";"si";"9025"
"Center of Higher Education Jutland";"http://www.jcvu.dk/";"dk";"9026"
"Warren County Community College";"http://www.warren.edu/";"us";"9027"
"Hiroshima Prefectural University";"http://www.hiroshima-pu.ac.jp/";"jp";"9028"
"Potomac College";"http://www.potomac.edu/";"us";"9029"
"University of Kurdistan Sanandaj";"http://www.uok.ac.ir/";"ir";"9030"
"Universidad Ciencias de la informática";"http://www.ucinf.cl/";"cl";"9031"
"University of Mohaghegh Ardabili";"http://www.uma.ac.ir/";"ir";"9032"
"Fort Belknap College";"http://www.fbcc.edu/";"us";"9033"
"International Institute of Management in Technology University of Fribourg";"http://www.iimt.ch/";"ch";"9034"
"École des Mines de Paris A Sophia Antipolis";"http://www.sophia.ensmp.fr/";"fr";"9035"
"Faculdade de Natal";"http://www.falnatal.com.br/";"br";"9036"
"Universidad de las Américas Ecuador  ";"http://www.uamericas.edu.ec/";"ec";"9037"
"University of Karachi";"http://www.uok.edu.pk/";"pk";"9038"
"Plymouth College of Art and Design ";"http://www.plymouthart.ac.uk/";"uk";"9039"
"Universidad Bolívariana de Venezuela";"http://www.ubv.edu.ve/";"ve";"9040"
"Universidad del Aconcagua";"http://www.uda.edu.ar/";"ar";"9041"
"Universidad de Boyacá";"http://www.uniboyaca.edu.co/";"co";"9042"
"KBU International College";"http://www.kbu.edu.my/";"my";"9043"
"University of Arkansas Community College Morrilton";"http://www.uaccm.edu/";"us";"9044"
"Belarusian-Russian University";"http://www.bru.mogilev.by/";"by";"9045"
